DATE,BAMLC0A4CBBBEY
2014-01-31,3.76
2014-02-03,3.72
2014-02-04,3.74
2014-02-05,3.76
2014-02-06,3.77
2014-02-07,3.73
2014-02-10,3.73
2014-02-11,3.75
2014-02-12,3.77
2014-02-13,3.72
2014-02-14,3.71
2014-02-17,3.71
2014-02-18,3.68
2014-02-19,3.70
2014-02-20,3.71
2014-02-21,3.70
2014-02-24,3.70
2014-02-25,3.66
2014-02-26,3.64
2014-02-27,3.62
2014-02-28,3.64
2014-03-03,3.62
2014-03-04,3.67
2014-03-05,3.67
2014-03-06,3.69
2014-03-07,3.74
2014-03-10,3.74
2014-03-11,3.73
2014-03-12,3.72
2014-03-13,3.68
2014-03-14,3.68
2014-03-17,3.70
2014-03-18,3.68
2014-03-19,3.74
2014-03-20,3.75
2014-03-21,3.73
2014-03-24,3.73
2014-03-25,3.72
2014-03-26,3.68
2014-03-27,3.65
2014-03-28,3.67
2014-03-31,3.71
2014-04-01,3.71
2014-04-02,3.74
2014-04-03,3.73
2014-04-04,3.67
2014-04-07,3.64
2014-04-08,3.63
2014-04-09,3.62
2014-04-10,3.57
2014-04-11,3.56
2014-04-14,3.58
2014-04-15,3.58
2014-04-16,3.59
2014-04-17,3.63
2014-04-18,.
2014-04-21,3.63
2014-04-22,3.63
2014-04-23,3.60
2014-04-24,3.60
2014-04-25,3.59
2014-04-28,3.60
2014-04-29,3.60
2014-04-30,3.60
2014-05-01,3.56
2014-05-02,3.56
2014-05-05,3.56
2014-05-06,3.55
2014-05-07,3.53
2014-05-08,3.51
2014-05-09,3.52
2014-05-12,3.55
2014-05-13,3.51
2014-05-14,3.45
2014-05-15,3.43
2014-05-16,3.44
2014-05-19,3.44
2014-05-20,3.42
2014-05-21,3.44
2014-05-22,3.46
2014-05-23,3.44
2014-05-26,3.43
2014-05-27,3.42
2014-05-28,3.36
2014-05-29,3.36
2014-05-30,3.37
2014-05-31,3.40
2014-06-02,3.46
2014-06-03,3.49
2014-06-04,3.50
2014-06-05,3.48
2014-06-06,3.48
2014-06-09,3.48
2014-06-10,3.49
2014-06-11,3.50
2014-06-12,3.46
2014-06-13,3.49
2014-06-16,3.48
2014-06-17,3.52
2014-06-18,3.49
2014-06-19,3.48
2014-06-20,3.48
2014-06-23,3.47
2014-06-24,3.44
2014-06-25,3.42
2014-06-26,3.40
2014-06-27,3.40
2014-06-30,3.42
2014-07-01,3.46
2014-07-02,3.50
2014-07-03,3.52
2014-07-04,3.52
2014-07-07,3.50
2014-07-08,3.46
2014-07-09,3.45
2014-07-10,3.44
2014-07-11,3.43
2014-07-14,3.44
2014-07-15,3.45
2014-07-16,3.45
2014-07-17,3.42
2014-07-18,3.44
2014-07-21,3.44
2014-07-22,3.43
2014-07-23,3.42
2014-07-24,3.45
2014-07-25,3.43
2014-07-28,3.45
2014-07-29,3.43
2014-07-30,3.50
2014-07-31,3.53
2014-08-01,3.50
2014-08-04,3.49
2014-08-05,3.49
2014-08-06,3.50
2014-08-07,3.47
2014-08-08,3.48
2014-08-11,3.48
2014-08-12,3.48
2014-08-13,3.45
2014-08-14,3.43
2014-08-15,3.39
2014-08-18,3.42
2014-08-19,3.43
2014-08-20,3.45
2014-08-21,3.43
2014-08-22,3.43
2014-08-25,3.42
2014-08-26,3.42
2014-08-27,3.39
2014-08-28,3.38
2014-08-29,3.38
2014-08-31,3.40
2014-09-01,3.40
2014-09-02,3.45
2014-09-03,3.44
2014-09-04,3.47
2014-09-05,3.47
2014-09-08,3.47
2014-09-09,3.51
2014-09-10,3.54
2014-09-11,3.54
2014-09-12,3.60
2014-09-15,3.58
2014-09-16,3.58
2014-09-17,3.59
2014-09-18,3.61
2014-09-19,3.58
2014-09-22,3.56
2014-09-23,3.54
2014-09-24,3.57
2014-09-25,3.54
2014-09-26,3.58
2014-09-29,3.58
2014-09-30,3.63
2014-10-01,3.57
2014-10-02,3.59
2014-10-03,3.60
2014-10-06,3.57
2014-10-07,3.52
2014-10-08,3.50
2014-10-09,3.50
2014-10-10,3.50
2014-10-13,3.50
2014-10-14,3.43
2014-10-15,3.37
2014-10-16,3.43
2014-10-17,3.45
2014-10-20,3.43
2014-10-21,3.44
2014-10-22,3.46
2014-10-23,3.50
2014-10-24,3.50
2014-10-27,3.48
2014-10-28,3.50
2014-10-29,3.53
2014-10-30,3.52
2014-10-31,3.58
2014-11-03,3.59
2014-11-04,3.60
2014-11-05,3.61
2014-11-06,3.64
2014-11-07,3.61
2014-11-10,3.64
2014-11-11,3.64
2014-11-12,3.64
2014-11-13,3.64
2014-11-14,3.64
2014-11-17,3.67
2014-11-18,3.67
2014-11-19,3.69
2014-11-20,3.68
2014-11-21,3.65
2014-11-24,3.64
2014-11-25,3.61
2014-11-26,3.59
2014-11-27,3.58
2014-11-28,3.56
2014-11-30,3.60
2014-12-01,3.63
2014-12-02,3.69
2014-12-03,3.71
2014-12-04,3.69
2014-12-05,3.76
2014-12-08,3.74
2014-12-09,3.75
2014-12-10,3.74
2014-12-11,3.76
2014-12-12,3.74
2014-12-15,3.80
2014-12-16,3.83
2014-12-17,3.87
2014-12-18,3.86
2014-12-19,3.83
2014-12-22,3.81
2014-12-23,3.87
2014-12-24,3.87
2014-12-25,.
2014-12-26,3.86
2014-12-29,3.83
2014-12-30,3.81
2014-12-31,3.81
2015-01-01,.
2015-01-02,3.78
2015-01-05,3.76
2015-01-06,3.73
2015-01-07,3.71
2015-01-08,3.73
2015-01-09,3.70
2015-01-12,3.66
2015-01-13,3.66
2015-01-14,3.63
2015-01-15,3.58
2015-01-16,.
2015-01-19,3.63
2015-01-20,3.61
2015-01-21,3.65
2015-01-22,3.66
2015-01-23,3.60
2015-01-26,3.61
2015-01-27,3.60
2015-01-28,3.54
2015-01-29,3.57
2015-01-30,3.53
2015-01-31,3.55
2015-02-02,3.55
2015-02-03,3.60
2015-02-04,3.60
2015-02-05,3.60
2015-02-06,3.69
2015-02-09,3.68
2015-02-10,3.71
2015-02-11,3.71
2015-02-12,3.68
2015-02-13,3.70
2015-02-16,3.69
2015-02-17,3.76
2015-02-18,3.68
2015-02-19,3.71
2015-02-20,3.71
2015-02-23,3.66
2015-02-24,3.60
2015-02-25,3.60
2015-02-26,3.62
2015-02-27,3.61
2015-02-28,3.52
2015-03-02,3.58
2015-03-03,3.60
2015-03-04,3.60
2015-03-05,3.58
2015-03-06,3.67
2015-03-09,3.64
2015-03-10,3.61
2015-03-11,3.61
2015-03-12,3.60
2015-03-13,3.62
2015-03-16,3.62
2015-03-17,3.61
2015-03-18,3.54
2015-03-19,3.55
2015-03-20,3.51
2015-03-23,3.49
2015-03-24,3.46
2015-03-25,3.49
2015-03-26,3.55
2015-03-27,3.50
2015-03-30,3.51
2015-03-31,3.47
2015-04-01,3.42
2015-04-02,3.43
2015-04-03,.
2015-04-06,3.42
2015-04-07,3.40
2015-04-08,3.39
2015-04-09,3.44
2015-04-10,3.43
2015-04-13,3.42
2015-04-14,3.38
2015-04-15,3.38
2015-04-16,3.36
2015-04-17,3.35
2015-04-20,3.39
2015-04-21,3.39
2015-04-22,3.43
2015-04-23,3.42
2015-04-24,3.39
2015-04-27,3.39
2015-04-28,3.43
2015-04-29,3.48
2015-04-30,3.53
2015-05-01,3.58
2015-05-04,3.59
2015-05-05,3.62
2015-05-06,3.66
2015-05-07,3.64
2015-05-08,3.60
2015-05-11,3.68
2015-05-12,3.68
2015-05-13,3.68
2015-05-14,3.64
2015-05-15,3.58
2015-05-18,3.63
2015-05-19,3.66
2015-05-20,3.66
2015-05-21,3.62
2015-05-22,3.66
2015-05-25,.
2015-05-26,3.61
2015-05-27,3.61
2015-05-28,3.60
2015-05-29,3.59
2015-05-31,3.62
2015-06-01,3.70
2015-06-02,3.75
2015-06-03,3.82
2015-06-04,3.78
2015-06-05,3.86
2015-06-08,3.84
2015-06-09,3.88
2015-06-10,3.93
2015-06-11,3.87
2015-06-12,3.87
2015-06-15,3.86
2015-06-16,3.84
2015-06-17,3.83
2015-06-18,3.85
2015-06-19,3.80
2015-06-22,3.86
2015-06-23,3.90
2015-06-24,3.87
2015-06-25,3.89
2015-06-26,3.94
2015-06-29,3.86
2015-06-30,3.88
2015-07-01,3.94
2015-07-02,3.90
2015-07-03,3.90
2015-07-06,3.83
2015-07-07,3.81
2015-07-08,3.80
2015-07-09,3.87
2015-07-10,3.95
2015-07-13,3.96
2015-07-14,3.93
2015-07-15,3.90
2015-07-16,3.91
2015-07-17,3.91
2015-07-20,3.94
2015-07-21,3.92
2015-07-22,3.92
2015-07-23,3.90
2015-07-24,3.92
2015-07-27,3.90
2015-07-28,3.92
2015-07-29,3.94
2015-07-30,3.93
2015-07-31,3.91
2015-08-03,3.88
2015-08-04,3.94
2015-08-05,3.99
2015-08-06,3.98
2015-08-07,3.95
2015-08-10,4.00
2015-08-11,3.94
2015-08-12,3.95
2015-08-13,4.01
2015-08-14,4.01
2015-08-17,3.98
2015-08-18,4.02
2015-08-19,3.98
2015-08-20,3.97
2015-08-21,3.96
2015-08-24,3.97
2015-08-25,4.07
2015-08-26,4.10
2015-08-27,4.07
2015-08-28,4.08
2015-08-31,4.10
2015-09-01,4.08
2015-09-02,4.10
2015-09-03,4.07
2015-09-04,4.04
2015-09-07,4.04
2015-09-08,4.08
2015-09-09,4.06
2015-09-10,4.08
2015-09-11,4.06
2015-09-14,4.05
2015-09-15,4.13
2015-09-16,4.14
2015-09-17,4.06
2015-09-18,3.99
2015-09-21,4.05
2015-09-22,4.00
2015-09-23,4.02
2015-09-24,4.04
2015-09-25,4.08
2015-09-28,4.08
2015-09-29,4.09
2015-09-30,4.12
2015-10-01,4.12
2015-10-02,4.08
2015-10-05,4.11
2015-10-06,4.07
2015-10-07,4.06
2015-10-08,4.09
2015-10-09,4.07
2015-10-12,4.07
2015-10-13,4.04
2015-10-14,3.98
2015-10-15,4.01
2015-10-16,4.00
2015-10-19,4.00
2015-10-20,4.03
2015-10-21,3.99
2015-10-22,3.97
2015-10-23,4.00
2015-10-26,3.97
2015-10-27,3.96
2015-10-28,4.02
2015-10-29,4.07
2015-10-30,4.06
2015-10-31,4.07
2015-11-02,4.09
2015-11-03,4.10
2015-11-04,4.11
2015-11-05,4.12
2015-11-06,4.19
2015-11-09,4.20
2015-11-10,4.18
2015-11-11,4.18
2015-11-12,4.20
2015-11-13,4.18
2015-11-16,4.17
2015-11-17,4.16
2015-11-18,4.18
2015-11-19,4.16
2015-11-20,4.17
2015-11-23,4.17
2015-11-24,4.17
2015-11-25,4.18
2015-11-26,4.18
2015-11-27,4.17
2015-11-30,4.17
2015-12-01,4.12
2015-12-02,4.15
2015-12-03,4.27
2015-12-04,4.23
2015-12-07,4.21
2015-12-08,4.25
2015-12-09,4.23
2015-12-10,4.27
2015-12-11,4.23
2015-12-14,4.33
2015-12-15,4.37
2015-12-16,4.39
2015-12-17,4.36
2015-12-18,4.35
2015-12-21,4.36
2015-12-22,4.39
2015-12-23,4.40
2015-12-24,4.39
2015-12-25,.
2015-12-28,4.38
2015-12-29,4.44
2015-12-30,4.43
2015-12-31,4.42
2016-01-01,.
2016-01-04,4.40
2016-01-05,4.40
2016-01-06,4.35
2016-01-07,4.35
2016-01-08,4.34
2016-01-11,4.36
2016-01-12,4.35
2016-01-13,4.33
2016-01-14,4.39
2016-01-15,4.39
2016-01-18,4.39
2016-01-19,4.41
2016-01-20,4.46
2016-01-21,4.48
2016-01-22,4.49
2016-01-25,4.48
2016-01-26,4.47
2016-01-27,4.48
2016-01-28,4.48
2016-01-29,4.44
2016-01-31,4.44
2016-02-01,4.48
2016-02-02,4.43
2016-02-03,4.46
2016-02-04,4.45
2016-02-05,4.44
2016-02-08,4.40
2016-02-09,4.44
2016-02-10,4.44
2016-02-11,4.45
2016-02-12,4.53
2016-02-15,4.52
2016-02-16,4.53
2016-02-17,4.54
2016-02-18,4.47
2016-02-19,4.48
2016-02-22,4.47
2016-02-23,4.45
2016-02-24,4.45
2016-02-25,4.41
2016-02-26,4.45
2016-02-29,4.35
2016-03-01,4.39
2016-03-02,4.37
2016-03-03,4.33
2016-03-04,4.34
2016-03-07,4.32
2016-03-08,4.26
2016-03-09,4.28
2016-03-10,4.28
2016-03-11,4.28
2016-03-14,4.22
2016-03-15,4.20
2016-03-16,4.16
2016-03-17,4.10
2016-03-18,4.04
2016-03-21,4.06
2016-03-22,4.05
2016-03-23,3.99
2016-03-24,4.01
2016-03-25,.
2016-03-28,4.00
2016-03-29,3.94
2016-03-30,3.93
2016-03-31,3.86
2016-04-01,3.87
2016-04-04,3.84
2016-04-05,3.81
2016-04-06,3.82
2016-04-07,3.77
2016-04-08,3.79
2016-04-11,3.78
2016-04-12,3.81
2016-04-13,3.78
2016-04-14,3.77
2016-04-15,3.74
2016-04-18,3.75
2016-04-19,3.73
2016-04-20,3.76
2016-04-21,3.74
2016-04-22,3.74
2016-04-25,3.74
2016-04-26,3.75
2016-04-27,3.70
2016-04-28,3.66
2016-04-29,3.64
2016-04-30,3.66
2016-05-02,3.69
2016-05-03,3.65
2016-05-04,3.65
2016-05-05,3.62
2016-05-06,3.65
2016-05-09,3.64
2016-05-10,3.64
2016-05-11,3.63
2016-05-12,3.66
2016-05-13,3.63
2016-05-16,3.66
2016-05-17,3.67
2016-05-18,3.76
2016-05-19,3.74
2016-05-20,3.75
2016-05-23,3.75
2016-05-24,3.75
2016-05-25,3.76
2016-05-26,3.70
2016-05-27,3.71
2016-05-30,3.70
2016-05-31,3.70
2016-06-01,3.72
2016-06-02,3.69
2016-06-03,3.60
2016-06-06,3.61
2016-06-07,3.59
2016-06-08,3.57
2016-06-09,3.55
2016-06-10,3.53
2016-06-13,3.52
2016-06-14,3.54
2016-06-15,3.52
2016-06-16,3.51
2016-06-17,3.54
2016-06-20,3.56
2016-06-21,3.57
2016-06-22,3.55
2016-06-23,3.57
2016-06-24,3.5
2016-06-27,3.43
2016-06-28,3.43
2016-06-29,3.42
2016-06-30,3.44
2016-07-01,3.41
2016-07-04,3.41
2016-07-05,3.33
2016-07-06,3.34
2016-07-07,3.33
2016-07-08,3.3
2016-07-11,3.32
2016-07-12,3.35
2016-07-13,3.31
2016-07-14,3.33
2016-07-15,3.37
2016-07-18,3.35
2016-07-19,3.33
2016-07-20,3.34
2016-07-21,3.32
2016-07-22,3.32
2016-07-25,3.33
2016-07-26,3.33
2016-07-27,3.3
2016-07-28,3.3
2016-07-29,3.26
2016-07-31,3.27
2016-08-01,3.29
2016-08-02,3.33
2016-08-03,3.34
2016-08-04,3.29
2016-08-05,3.35
2016-08-08,3.34
2016-08-09,3.3
2016-08-10,3.26
2016-08-11,3.31
2016-08-12,3.26
2016-08-15,3.27
2016-08-16,3.28
2016-08-17,3.27
2016-08-18,3.23
2016-08-19,3.26
2016-08-22,3.23
2016-08-23,3.23
2016-08-24,3.23
2016-08-25,3.25
2016-08-26,3.29
2016-08-29,3.24
2016-08-30,3.24
2016-08-31,3.26
2016-09-01,3.26
2016-09-02,3.28
2016-09-05,3.27
2016-09-06,3.22
2016-09-07,3.22
2016-09-08,3.28
2016-09-09,3.33
2016-09-12,3.34
2016-09-13,3.39
2016-09-14,3.35
2016-09-15,3.35
2016-09-16,3.36
2016-09-19,3.35
2016-09-20,3.34
2016-09-21,3.34
2016-09-22,3.29
2016-09-23,3.28
2016-09-26,3.26
2016-09-27,3.25
2016-09-28,3.26
2016-09-29,3.24
2016-09-30,3.3
2016-10-03,3.31
2016-10-04,3.35
2016-10-05,3.36
2016-10-06,3.37
2016-10-07,3.36
2016-10-10,3.35
2016-10-11,3.37
2016-10-12,3.37
2016-10-13,3.34
2016-10-14,3.37
2016-10-17,3.34
2016-10-18,3.32
2016-10-19,3.31
2016-10-20,3.3
2016-10-21,3.3
2016-10-24,3.32
2016-10-25,3.32
2016-10-26,3.35
2016-10-27,3.39
2016-10-28,3.39
2016-10-31,3.41
2016-11-01,3.41
2016-11-02,3.41
2016-11-03,3.42
2016-11-04,3.41
2016-11-07,3.42
2016-11-08,3.45
2016-11-09,3.59
2016-11-10,3.63
2016-11-11,3.63
2016-11-14,3.73
2016-11-15,3.73
2016-11-16,3.72
2016-11-17,3.76
2016-11-18,3.82
2016-11-21,3.83
2016-11-22,3.82
2016-11-23,3.85
2016-11-24,3.85
2016-11-25,3.86
2016-11-28,3.81
2016-11-29,3.8
2016-11-30,3.85
2016-12-01,3.89
2016-12-02,3.85
2016-12-05,3.84
2016-12-06,3.84
2016-12-07,3.79
2016-12-08,3.81
2016-12-09,3.86
2016-12-12,3.86
2016-12-13,3.86
2016-12-14,3.89
2016-12-15,3.93
2016-12-16,3.94
2016-12-19,3.89
2016-12-20,3.9
2016-12-21,3.88
2016-12-22,3.88
2016-12-23,3.87
2016-12-26,.
2016-12-27,3.89
2016-12-28,3.84
2016-12-29,3.81
2016-12-30,3.78
2016-12-31,3.8
2017-01-02,.
2017-01-03,3.8
2017-01-04,3.8
2017-01-05,3.73
2017-01-06,3.77
2017-01-09,3.74
2017-01-10,3.74
2017-01-11,3.73
2017-01-12,3.72
2017-01-13,3.73
2017-01-16,3.73
2017-01-17,3.68
2017-01-18,3.73
2017-01-19,3.78
2017-01-20,3.77
2017-01-23,3.71
2017-01-24,3.76
2017-01-25,3.8
2017-01-26,3.77
2017-01-27,3.75
2017-01-30,3.75
2017-01-31,3.76
2017-02-01,3.78
2017-02-02,3.77
2017-02-03,3.77
2017-02-06,3.71
2017-02-07,3.7
2017-02-08,3.68
2017-02-09,3.71
2017-02-10,3.72
2017-02-13,3.73
2017-02-14,3.75
2017-02-15,3.76
2017-02-16,3.71
2017-02-17,3.69
2017-02-20,3.69
2017-02-21,3.69
2017-02-22,3.68
2017-02-23,3.65
2017-02-24,3.59
2017-02-27,3.63
2017-02-28,3.66
2017-03-01,3.74
2017-03-02,3.75
2017-03-03,3.74
2017-03-06,3.74
2017-03-07,3.77
2017-03-08,3.82
2017-03-09,3.87
2017-03-10,3.86
2017-03-13,3.88
2017-03-14,3.88
2017-03-15,3.8
2017-03-16,3.8
2017-03-17,3.79
2017-03-20,3.76
2017-03-21,3.73
2017-03-22,3.71
2017-03-23,3.72
2017-03-24,3.7
2017-03-27,3.69
2017-03-28,3.71
2017-03-29,3.69
2017-03-30,3.71
2017-03-31,3.73
2017-04-03,3.69
2017-04-04,3.7
2017-04-05,3.7
2017-04-06,3.69
2017-04-07,3.71
2017-04-10,3.7
2017-04-11,3.65
2017-04-12,3.65
2017-04-13,3.6
2017-04-14,.
2017-04-17,3.61
2017-04-18,3.56
2017-04-19,3.57
2017-04-20,3.6
2017-04-21,3.59
2017-04-24,3.62
2017-04-25,3.65
2017-04-26,3.64
2017-04-27,3.62
2017-04-28,3.61
2017-04-30,3.63
2017-05-01,3.66
2017-05-02,3.62
2017-05-03,3.63
2017-05-04,3.67
2017-05-05,3.66
2017-05-08,3.67
2017-05-09,3.69
2017-05-10,3.69
2017-05-11,3.67
2017-05-12,3.61
2017-05-15,3.6
2017-05-16,3.59
2017-05-17,3.51
2017-05-18,3.53
2017-05-19,3.54
2017-05-22,3.54
2017-05-23,3.56
2017-05-24,3.55
2017-05-25,3.54
2017-05-26,3.53
2017-05-29,3.53
2017-05-30,3.5
2017-05-31,3.53
2017-06-01,3.54
2017-06-02,3.5
2017-06-05,3.51
2017-06-06,3.48
2017-06-07,3.51
2017-06-08,3.52
2017-06-09,3.52
2017-06-12,3.53
2017-06-13,3.53
2017-06-14,3.46
2017-06-15,3.49
2017-06-16,3.48
2017-06-19,3.5
2017-06-20,3.47
2017-06-21,3.48
2017-06-22,3.48
2017-06-23,3.47
2017-06-26,3.46
2017-06-27,3.5
2017-06-28,3.5
2017-06-29,3.53
2017-06-30,3.57
2017-07-03,3.6
2017-07-04,3.6
2017-07-05,3.59
2017-07-06,3.61
2017-07-07,3.62
2017-07-10,3.59
2017-07-11,3.58
2017-07-12,3.54
2017-07-13,3.56
2017-07-14,3.53
2017-07-17,3.51
2017-07-18,3.47
2017-07-19,3.47
2017-07-20,3.46
2017-07-21,3.43
2017-07-24,3.45
2017-07-25,3.5
2017-07-26,3.45
2017-07-27,3.47
2017-07-28,3.45
2017-07-31,3.48
2017-08-01,3.45
2017-08-02,3.46
2017-08-03,3.44
2017-08-04,3.47
2017-08-07,3.47
2017-08-08,3.49
2017-08-09,3.48
2017-08-10,3.48
2017-08-11,3.48
2017-08-14,3.49
2017-08-15,3.52
2017-08-16,3.48
2017-08-17,3.47
2017-08-18,3.47
2017-08-21,3.46
2017-08-22,3.48
2017-08-23,3.45
2017-08-24,3.47
2017-08-25,3.45
2017-08-28,3.44
2017-08-29,3.43
2017-08-30,3.44
2017-08-31,3.44
2017-09-01,3.46
2017-09-04,3.46
2017-09-05,3.39
2017-09-06,3.43
2017-09-07,3.39
2017-09-08,3.4
2017-09-11,3.45
2017-09-12,3.47
2017-09-13,3.48
2017-09-14,3.47
2017-09-15,3.47
2017-09-18,3.48
2017-09-19,3.48
2017-09-20,3.5
2017-09-21,3.5
2017-09-22,3.49
2017-09-25,3.46
2017-09-26,3.46
2017-09-27,3.51
2017-09-28,3.49
2017-09-29,3.49
2017-09-30,3.51
2017-10-02,3.51
2017-10-03,3.49
2017-10-04,3.49
2017-10-05,3.50
2017-10-06,3.51
2017-10-09,3.51
2017-10-10,3.49
2017-10-11,3.49
2017-10-12,3.48
2017-10-13,3.45
2017-10-16,3.47
2017-10-17,3.47
2017-10-18,3.49
2017-10-19,3.48
2017-10-20,3.52
2017-10-23,3.50
2017-10-24,3.51
2017-10-25,3.54
2017-10-26,3.55
2017-10-27,3.53
2017-10-30,3.49
2017-10-31,3.51
2017-11-01,3.52
2017-11-02,3.51
2017-11-03,3.51
2017-11-06,3.50
2017-11-07,3.50
2017-11-08,3.52
2017-11-09,3.54
2017-11-10,3.60
2017-11-13,3.61
2017-11-14,3.60
2017-11-15,3.59
2017-11-16,3.60
2017-11-17,3.59
2017-11-20,3.61
2017-11-21,3.60
2017-11-22,3.56
2017-11-23,3.56
2017-11-24,3.57
2017-11-27,3.55
2017-11-28,3.56
2017-11-29,3.59
2017-11-30,3.62
2017-12-01,3.58
2017-12-04,3.60
2017-12-05,3.58
2017-12-06,3.56
2017-12-07,3.59
2017-12-08,3.59
2017-12-11,3.60
2017-12-12,3.60
2017-12-13,3.56
2017-12-14,3.55
2017-12-15,3.56
2017-12-18,3.58
2017-12-19,3.63
2017-12-20,3.65
2017-12-21,3.64
2017-12-22,3.64
2017-12-25,.
2017-12-26,3.63
2017-12-27,3.58
2017-12-28,3.59
2017-12-29,3.58
2017-12-31,3.59
2018-01-01,.
2018-01-02,3.63
2018-01-03,3.62
2018-01-04,3.63
2018-01-05,3.64
2018-01-08,3.63
2018-01-09,3.66
2018-01-10,3.66
2018-01-11,3.64
2018-01-12,3.65
2018-01-15,3.65
2018-01-16,3.64
2018-01-17,3.67
2018-01-18,3.69
2018-01-19,3.71
2018-01-22,3.73
