LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
NLD	CCI	AMPLITUD	LTRENDIDX	M	1996-12	101.0535	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-01	101.1735	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-02	101.2702	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-03	101.328	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-04	101.393	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-05	101.4452	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-06	101.5004	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-07	101.5405	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-08	101.5469	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-09	101.5302	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-10	101.5333	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-11	101.5947	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1997-12	101.6576	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-01	101.7198	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-02	101.8328	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-03	101.9246	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-04	101.951	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-05	101.9632	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-06	101.9395	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-07	101.844	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-08	101.5887	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-09	101.1907	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-10	100.8508	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-11	100.7617	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1998-12	100.7691	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-01	100.7512	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-02	100.7265	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-03	100.7393	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-04	100.8047	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-05	100.8963	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-06	101.0304	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-07	101.2362	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-08	101.4392	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-09	101.6607	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-10	101.7888	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-11	101.7793	
NLD	CCI	AMPLITUD	LTRENDIDX	M	1999-12	101.757	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-01	101.7962	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-02	101.8724	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-03	101.9552	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-04	102.0028	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-05	101.9141	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-06	101.8341	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-07	101.766	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-08	101.7754	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-09	101.8201	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-10	101.8637	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-11	101.77	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2000-12	101.6112	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-01	101.3479	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-02	101.058	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-03	100.7949	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-04	100.6305	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-05	100.5574	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-06	100.4408	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-07	100.2602	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-08	99.96082	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-09	99.70486	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-10	99.49256	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-11	99.52365	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2001-12	99.84577	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-01	100.244	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-02	100.5005	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-03	100.5865	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-04	100.503	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-05	100.3265	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-06	100.0465	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-07	99.80292	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-08	99.61151	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-09	99.46609	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-10	99.39787	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-11	99.34759	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2002-12	99.20746	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-01	98.97705	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-02	98.77132	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-03	98.65439	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-04	98.64262	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-05	98.74221	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-06	98.75832	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-07	98.77705	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-08	98.92024	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-09	99.00066	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-10	99.06621	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-11	99.18732	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2003-12	99.30325	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-01	99.40944	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-02	99.54736	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-03	99.55728	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-04	99.57487	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-05	99.63351	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-06	99.82297	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-07	100.0809	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-08	100.268	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-09	100.2444	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-10	100.0358	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-11	99.86516	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2004-12	99.77138	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-01	99.85907	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-02	100.0134	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-03	100.1473	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-04	100.188	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-05	100.0318	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-06	99.88129	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-07	99.82108	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-08	99.81766	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-09	99.92098	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-10	100.0915	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-11	100.2732	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2005-12	100.4961	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-01	100.6418	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-02	100.7406	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-03	100.8344	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-04	100.9134	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-05	101.0863	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-06	101.2993	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-07	101.4002	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-08	101.4815	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-09	101.5673	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-10	101.6295	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-11	101.6074	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2006-12	101.6365	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-01	101.6651	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-02	101.6105	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-03	101.5415	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-04	101.4951	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-05	101.5371	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-06	101.6496	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-07	101.6449	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-08	101.4584	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-09	101.1534	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-10	100.9753	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-11	100.8813	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2007-12	100.7887	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-01	100.6424	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-02	100.4551	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-03	100.3034	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-04	100.1451	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-05	100.0149	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-06	99.89177	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-07	99.76767	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-08	99.70012	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-09	99.56613	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-10	99.20032	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-11	98.7756	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2008-12	98.41114	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-01	98.15646	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-02	97.97687	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-03	97.973	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-04	98.26949	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-05	98.5871	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-06	98.73929	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-07	98.89633	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-08	99.15105	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-09	99.38824	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-10	99.5411	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-11	99.78583	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2009-12	100.0363	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-01	100.184	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-02	100.1912	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-03	100.1373	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-04	100.0354	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-05	100.0269	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-06	100.0518	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-07	100.1568	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-08	100.2676	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-09	100.366	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-10	100.4496	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-11	100.4774	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2010-12	100.4976	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-01	100.682	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-02	100.8556	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-03	100.8506	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-04	100.7198	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-05	100.557	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-06	100.3806	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-07	100.165	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-08	99.73413	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-09	99.16266	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-10	98.65148	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-11	98.28845	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2011-12	98.09248	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-01	98.06814	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-02	98.13725	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-03	98.21609	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-04	98.29612	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-05	98.24172	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-06	98.29185	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-07	98.47991	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-08	98.61885	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-09	98.65952	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-10	98.53407	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-11	98.19462	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2012-12	97.97668	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-01	97.89868	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-02	97.83579	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-03	97.98578	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-04	98.24442	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-05	98.4257	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-06	98.46141	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-07	98.51069	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-08	98.73926	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-09	98.97931	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-10	99.32932	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-11	99.71133	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2013-12	99.96158	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-01	100.0741	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-02	100.1094	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-03	100.2399	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-04	100.3717	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-05	100.5427	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-06	100.6404	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-07	100.6809	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-08	100.6759	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-09	100.6889	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-10	100.6731	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-11	100.5902	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2014-12	100.5235	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2015-01	100.5135	
NLD	CCI	AMPLITUD	LTRENDIDX	M	2015-02	100.555	
