DATE,GDPDEF
2000-01-01,77.396
2000-04-01,77.865
2000-07-01,78.309
2000-10-01,78.723
2001-01-01,79.204
2001-04-01,79.683
2001-07-01,80.004
2001-10-01,80.268
2002-01-01,80.533
2002-04-01,80.821
2002-07-01,81.194
2002-10-01,81.654
2003-01-01,82.025
2003-04-01,82.266
2003-07-01,82.712
2003-10-01,83.201
2004-01-01,83.82
2004-04-01,84.504
2004-07-01,85.056
2004-10-01,85.712
2005-01-01,86.391
2005-04-01,86.996
2005-07-01,87.783
2005-10-01,88.489
2006-01-01,89.107
2006-04-01,89.852
2006-07-01,90.481
2006-10-01,90.815
2007-01-01,91.708
2007-04-01,92.301
2007-07-01,92.776
2007-10-01,93.145
2008-01-01,93.489
2008-04-01,93.99
2008-07-01,94.69
2008-10-01,94.986
2009-01-01,94.976
2009-04-01,94.838
2009-07-01,94.938
2009-10-01,95.259
2010-01-01,95.499
2010-04-01,95.943
2010-07-01,96.222
2010-10-01,96.763
2011-01-01,97.283
2011-04-01,97.922
2011-07-01,98.553
2011-10-01,98.703
2012-01-01,99.32
2012-04-01,99.713
2012-07-01,100.225
2012-10-01,100.737
2013-01-01,101.139
2013-04-01,101.431
2013-07-01,101.918
2013-10-01,102.517
2014-01-01,102.895
2014-04-01,103.539
2014-07-01,104.029
2014-10-01,104.233
2015-01-01,104.148
2015-04-01,104.738
2015-07-01,105.117
2015-10-01,105.145
2016-01-01,105.055
2016-04-01,105.778
2016-07-01,106.172
2016-10-01,106.72
2017-01-01,107.275
2017-04-01,107.58
2017-07-01,108.097
2017-10-01,108.824
2018-01-01,109.371
2018-04-01,110.266
2018-07-01,110.679
