DATE,PAYEMS
2000-01-01,131020
2000-02-01,131136
2000-03-01,131609
2000-04-01,131900
2000-05-01,132118
2000-06-01,132079
2000-07-01,132247
2000-08-01,132240
2000-09-01,132364
2000-10-01,132365
2000-11-01,132570
2000-12-01,132722
2001-01-01,132712
2001-02-01,132804
2001-03-01,132761
2001-04-01,132475
2001-05-01,132426
2001-06-01,132312
2001-07-01,132187
2001-08-01,132043
2001-09-01,131791
2001-10-01,131468
2001-11-01,131158
2001-12-01,130997
2002-01-01,130868
2002-02-01,130752
2002-03-01,130732
2002-04-01,130636
2002-05-01,130647
2002-06-01,130695
2002-07-01,130604
2002-08-01,130603
2002-09-01,130524
2002-10-01,130643
2002-11-01,130632
2002-12-01,130488
2003-01-01,130596
2003-02-01,130461
2003-03-01,130246
2003-04-01,130194
2003-05-01,130210
2003-06-01,130209
2003-07-01,130207
2003-08-01,130167
2003-09-01,130279
2003-10-01,130473
2003-11-01,130490
2003-12-01,130605
2004-01-01,130787
2004-02-01,130844
2004-03-01,131156
2004-04-01,131426
2004-05-01,131710
2004-06-01,131807
2004-07-01,131864
2004-08-01,131955
2004-09-01,132112
2004-10-01,132466
2004-11-01,132521
2004-12-01,132644
2005-01-01,132791
2005-02-01,133050
2005-03-01,133172
2005-04-01,133536
2005-05-01,133706
2005-06-01,133957
2005-07-01,134314
2005-08-01,134517
2005-09-01,134583
2005-10-01,134673
2005-11-01,135012
2005-12-01,135168
2006-01-01,135446
2006-02-01,135753
2006-03-01,136063
2006-04-01,136221
2006-05-01,136261
2006-06-01,136342
2006-07-01,136538
2006-08-01,136713
2006-09-01,136860
2006-10-01,136870
2006-11-01,137082
2006-12-01,137268
2007-01-01,137493
2007-02-01,137573
2007-03-01,137810
2007-04-01,137860
2007-05-01,138012
2007-06-01,138088
2007-07-01,138055
2007-08-01,138032
2007-09-01,138114
2007-10-01,138190
2007-11-01,138299
2007-12-01,138409
2008-01-01,138422
2008-02-01,138340
2008-03-01,138292
2008-04-01,138056
2008-05-01,137872
2008-06-01,137706
2008-07-01,137508
2008-08-01,137229
2008-09-01,136769
2008-10-01,136288
2008-11-01,135561
2008-12-01,134857
2009-01-01,134074
2009-02-01,133332
2009-03-01,132529
2009-04-01,131835
2009-05-01,131491
2009-06-01,131026
2009-07-01,130685
2009-08-01,130501
2009-09-01,130259
2009-10-01,130061
2009-11-01,130073
2009-12-01,129804
2010-01-01,129807
2010-02-01,129715
2010-03-01,129895
2010-04-01,130132
2010-05-01,130666
2010-06-01,130530
2010-07-01,130442
2010-08-01,130437
2010-09-01,130373
2010-10-01,130642
2010-11-01,130765
2010-12-01,130839
2011-01-01,130859
2011-02-01,131072
2011-03-01,131304
2011-04-01,131625
2011-05-01,131720
2011-06-01,131955
2011-07-01,132016
2011-08-01,132138
2011-09-01,132374
2011-10-01,132578
2011-11-01,132710
2011-12-01,132914
2012-01-01,133269
2012-02-01,133531
2012-03-01,133769
2012-04-01,133852
2012-05-01,133951
2012-06-01,134023
2012-07-01,134176
2012-08-01,134346
2012-09-01,134535
2012-10-01,134693
2012-11-01,134851
2012-12-01,135088
2013-01-01,135283
2013-02-01,135562
2013-03-01,135698
2013-04-01,135890
2013-05-01,136114
2013-06-01,136295
2013-07-01,136400
2013-08-01,136642
2013-09-01,136831
2013-10-01,137056
2013-11-01,137323
2013-12-01,137390
2014-01-01,137567
2014-02-01,137735
2014-03-01,137985
2014-04-01,138312
2014-05-01,138533
2014-06-01,138857
2014-07-01,139084
2014-08-01,139272
2014-09-01,139583
2014-10-01,139841
2014-11-01,140127
2014-12-01,140396
2015-01-01,140609
2015-02-01,140857
2015-03-01,140934
2015-04-01,141234
2015-05-01,141553
2015-06-01,141723
2015-07-01,142016
2015-08-01,142138
2015-09-01,142271
2015-10-01,142610
2015-11-01,142845
2015-12-01,143125
2016-01-01,143215
2016-02-01,143447
2016-03-01,143681
2016-04-01,143892
2016-05-01,143907
2016-06-01,144189
2016-07-01,144525
2016-08-01,144660
2016-09-01,144930
2016-10-01,145058
2016-11-01,145228
2016-12-01,145443
2017-01-01,145695
2017-02-01,145836
2017-03-01,145963
2017-04-01,146176
2017-05-01,146304
2017-06-01,146533
2017-07-01,146737
2017-08-01,146924
2017-09-01,146942
2017-10-01,147202
2017-11-01,147422
2017-12-01,147596
2018-01-01,147767
2018-02-01,148097
2018-03-01,148279
2018-04-01,148475
2018-05-01,148745
2018-06-01,149007
2018-07-01,149185
2018-08-01,149467
2018-09-01,149575
2018-10-01,149852
2018-11-01,150048
2018-12-01,150270
2019-01-01,150574
