DATE,USPHCI
1979-01-01,46.92
1979-02-01,47.07
1979-03-01,47.32
1979-04-01,47.39
1979-05-01,47.61
1979-06-01,47.75
1979-07-01,47.87
1979-08-01,47.93
1979-09-01,48.03
1979-10-01,48.12
1979-11-01,48.24
1979-12-01,48.30
1980-01-01,48.35
1980-02-01,48.45
1980-03-01,48.54
1980-04-01,48.44
1980-05-01,48.29
1980-06-01,48.21
1980-07-01,48.11
1980-08-01,48.21
1980-09-01,48.30
1980-10-01,48.42
1980-11-01,48.55
1980-12-01,48.74
1981-01-01,48.79
1981-02-01,48.93
1981-03-01,49.01
1981-04-01,49.14
1981-05-01,49.15
1981-06-01,49.29
1981-07-01,49.44
1981-08-01,49.45
1981-09-01,49.46
1981-10-01,49.41
1981-11-01,49.34
1981-12-01,49.28
1982-01-01,49.21
1982-02-01,49.17
1982-03-01,49.15
1982-04-01,49.05
1982-05-01,49.06
1982-06-01,48.98
1982-07-01,48.88
1982-08-01,48.87
1982-09-01,48.77
1982-10-01,48.66
1982-11-01,48.57
1982-12-01,48.61
1983-01-01,48.77
1983-02-01,48.79
1983-03-01,48.91
1983-04-01,49.07
1983-05-01,49.24
1983-06-01,49.43
1983-07-01,49.78
1983-08-01,49.75
1983-09-01,50.22
1983-10-01,50.48
1983-11-01,50.75
1983-12-01,51.02
1984-01-01,51.32
1984-02-01,51.61
1984-03-01,51.82
1984-04-01,52.07
1984-05-01,52.34
1984-06-01,52.61
1984-07-01,52.75
1984-08-01,52.96
1984-09-01,53.21
1984-10-01,53.39
1984-11-01,53.65
1984-12-01,53.77
1985-01-01,53.97
1985-02-01,54.13
1985-03-01,54.33
1985-04-01,54.48
1985-05-01,54.68
1985-06-01,54.79
1985-07-01,54.96
1985-08-01,55.17
1985-09-01,55.33
1985-10-01,55.49
1985-11-01,55.67
1985-12-01,55.82
1986-01-01,56.03
1986-02-01,56.04
1986-03-01,56.18
1986-04-01,56.35
1986-05-01,56.46
1986-06-01,56.53
1986-07-01,56.76
1986-08-01,56.90
1986-09-01,57.07
1986-10-01,57.23
1986-11-01,57.40
1986-12-01,57.64
1987-01-01,57.78
1987-02-01,57.95
1987-03-01,58.13
1987-04-01,58.41
1987-05-01,58.57
1987-06-01,58.77
1987-07-01,58.99
1987-08-01,59.17
1987-09-01,59.37
1987-10-01,59.59
1987-11-01,59.83
1987-12-01,60.07
1988-01-01,60.22
1988-02-01,60.47
1988-03-01,60.68
1988-04-01,60.94
1988-05-01,61.08
1988-06-01,61.36
1988-07-01,61.55
1988-08-01,61.66
1988-09-01,61.92
1988-10-01,62.11
1988-11-01,62.36
1988-12-01,62.57
1989-01-01,62.74
1989-02-01,63.00
1989-03-01,63.21
1989-04-01,63.32
1989-05-01,63.47
1989-06-01,63.58
1989-07-01,63.71
1989-08-01,63.81
1989-09-01,63.95
1989-10-01,64.08
1989-11-01,64.23
1989-12-01,64.37
1990-01-01,64.56
1990-02-01,64.76
1990-03-01,64.95
1990-04-01,65.03
1990-05-01,65.19
1990-06-01,65.34
1990-07-01,65.36
1990-08-01,65.35
1990-09-01,65.34
1990-10-01,65.37
1990-11-01,65.31
1990-12-01,65.30
1991-01-01,65.29
1991-02-01,65.20
1991-03-01,65.13
1991-04-01,65.11
1991-05-01,65.08
1991-06-01,65.14
1991-07-01,65.21
1991-08-01,65.25
1991-09-01,65.32
1991-10-01,65.38
1991-11-01,65.44
1991-12-01,65.43
1992-01-01,65.54
1992-02-01,65.56
1992-03-01,65.67
1992-04-01,65.81
1992-05-01,65.88
1992-06-01,65.96
1992-07-01,66.11
1992-08-01,66.27
1992-09-01,66.36
1992-10-01,66.59
1992-11-01,66.68
1992-12-01,66.88
1993-01-01,67.11
1993-02-01,67.37
1993-03-01,67.49
1993-04-01,67.67
1993-05-01,67.86
1993-06-01,68.07
1993-07-01,68.29
1993-08-01,68.49
1993-09-01,68.71
1993-10-01,68.86
1993-11-01,69.13
1993-12-01,69.40
1994-01-01,69.59
1994-02-01,69.81
1994-03-01,70.07
1994-04-01,70.33
1994-05-01,70.63
1994-06-01,70.89
1994-07-01,71.15
1994-08-01,71.42
1994-09-01,71.70
1994-10-01,71.92
1994-11-01,72.24
1994-12-01,72.50
