,DATE,CCI
0,1970-01-01,101.5096
1,1970-01-02,101.2555
2,1970-01-03,101.036
3,1970-01-04,100.9149
4,1970-01-05,100.9454
5,1970-01-06,101.03200000000001
6,1970-01-07,101.0503
7,1970-01-08,100.912
8,1970-01-09,100.6978
9,1970-01-10,100.5198
10,1970-01-11,100.4621
11,1970-01-12,100.4829
12,1970-01-13,100.5308
13,1970-01-14,100.5818
14,1970-01-15,100.6497
15,1970-01-16,100.7698
16,1970-01-17,100.9658
17,1970-01-18,101.1647
18,1970-01-19,101.2602
19,1970-01-20,101.1731
20,1970-01-21,101.0149
21,1970-01-22,100.9356
22,1970-01-23,101.0411
23,1970-01-24,101.23299999999999
24,1970-01-25,101.37
25,1970-01-26,101.3431
26,1970-01-27,101.2059
27,1970-01-28,101.027
28,1970-01-29,100.8535
29,1970-01-30,100.7151
30,1970-01-31,100.6509
31,1970-02-01,100.7004
32,1970-02-02,100.821
33,1970-02-03,100.9697
34,1970-02-04,101.11399999999999
35,1970-02-05,101.2154
36,1970-02-06,101.2164
37,1970-02-07,101.0706
38,1970-02-08,100.8736
39,1970-02-09,100.7491
40,1970-02-10,100.7869
41,1970-02-11,100.90799999999999
42,1970-02-12,101.0082
43,1970-02-13,101.0196
44,1970-02-14,100.992
45,1970-02-15,101.0041
46,1970-02-16,101.1137
47,1970-02-17,101.2684
48,1970-02-18,101.3931
49,1970-02-19,101.4331
50,1970-02-20,101.4263
51,1970-02-21,101.4251
52,1970-02-22,101.4643
53,1970-02-23,101.5234
54,1970-02-24,101.5685
55,1970-02-25,101.5753
56,1970-02-26,101.5645
57,1970-02-27,101.5682
58,1970-02-28,101.6139
59,1970-03-01,101.6929
60,1970-03-02,101.79700000000001
61,1970-03-03,101.9198
62,1970-03-04,102.0343
63,1970-03-05,102.1021
64,1970-03-06,102.0898
65,1970-03-07,102.0333
66,1970-03-08,101.9728
67,1970-03-09,101.9315
68,1970-03-10,101.8988
69,1970-03-11,101.8523
70,1970-03-12,101.7711
71,1970-03-13,101.663
72,1970-03-14,101.5333
73,1970-03-15,101.3808
74,1970-03-16,101.215
75,1970-03-17,101.0423
76,1970-03-18,100.8651
77,1970-03-19,100.6885
78,1970-03-20,100.5229
79,1970-03-21,100.3861
80,1970-03-22,100.2956
81,1970-03-23,100.2921
82,1970-03-24,100.4184
83,1970-03-25,100.6103
84,1970-03-26,100.7954
85,1970-03-27,100.9247
86,1970-03-28,101.0133
87,1970-03-29,101.0796
88,1970-03-30,101.1273
89,1970-03-31,101.1485
90,1970-04-01,101.1183
91,1970-04-02,101.0165
92,1970-04-03,100.9004
93,1970-04-04,100.8477
94,1970-04-05,100.9141
95,1970-04-06,101.0266
96,1970-04-07,101.0847
97,1970-04-08,101.0132
98,1970-04-09,100.8714
99,1970-04-10,100.7385
100,1970-04-11,100.6697
101,1970-04-12,100.6427
102,1970-04-13,100.6273
103,1970-04-14,100.6119
104,1970-04-15,100.619
105,1970-04-16,100.6935
106,1970-04-17,100.8684
107,1970-04-18,101.0636
108,1970-04-19,101.1621
109,1970-04-20,101.0667
110,1970-04-21,100.8533
111,1970-04-22,100.6069
112,1970-04-23,100.3753
113,1970-04-24,100.1561
114,1970-04-25,99.93136
115,1970-04-26,99.68898
116,1970-04-27,99.45002
117,1970-04-28,99.25171999999999
118,1970-04-29,99.12706999999999
119,1970-04-30,99.04373000000001
120,1970-05-01,98.96672
121,1970-05-02,98.87980999999999
122,1970-05-03,98.80058000000001
123,1970-05-04,98.76284
124,1970-05-05,98.79128
125,1970-05-06,98.83471
126,1970-05-07,98.82278000000001
127,1970-05-08,98.70772
128,1970-05-09,98.56145
129,1970-05-10,98.48933000000001
130,1970-05-11,98.5751
131,1970-05-12,98.75166
132,1970-05-13,98.93597
133,1970-05-14,99.07328000000001
134,1970-05-15,99.17331999999999
135,1970-05-16,99.25444
136,1970-05-17,99.32478
137,1970-05-18,99.38248
138,1970-05-19,99.41894
139,1970-05-20,99.43460999999999
140,1970-05-21,99.47616
141,1970-05-22,99.61688000000001
142,1970-05-23,99.9113
143,1970-05-24,100.2505
144,1970-05-25,100.4861
145,1970-05-26,100.5087
146,1970-05-27,100.4307
147,1970-05-28,100.4012
148,1970-05-29,100.5211
149,1970-05-30,100.7101
150,1970-05-31,100.8425
151,1970-06-01,100.8137
152,1970-06-02,100.6631
153,1970-06-03,100.4289
154,1970-06-04,100.1244
155,1970-06-05,99.7979
156,1970-06-06,99.49648
157,1970-06-07,99.25196
158,1970-06-08,99.0416
159,1970-06-09,98.84283
160,1970-06-10,98.65404000000001
161,1970-06-11,98.5035
162,1970-06-12,98.44469000000001
163,1970-06-13,98.5132
164,1970-06-14,98.59200000000001
165,1970-06-15,98.51713000000001
166,1970-06-16,98.17309
167,1970-06-17,97.74197
168,1970-06-18,97.4784
169,1970-06-19,97.57148000000001
170,1970-06-20,97.83929
171,1970-06-21,98.03457
172,1970-06-22,97.97565999999999
173,1970-06-23,97.75001999999999
174,1970-06-24,97.47499
175,1970-06-25,97.22535
176,1970-06-26,97.01021
177,1970-06-27,96.83299
178,1970-06-28,96.71686
179,1970-06-29,96.6922
180,1970-06-30,96.83923
181,1970-07-01,97.23907
182,1970-07-02,97.75319
183,1970-07-03,98.21203
184,1970-07-04,98.48931
185,1970-07-05,98.63171
186,1970-07-06,98.69383
187,1970-07-07,98.70809
188,1970-07-08,98.73486
189,1970-07-09,98.84436
190,1970-07-10,99.08596
191,1970-07-11,99.37486
192,1970-07-12,99.59893000000001
193,1970-07-13,99.6782
194,1970-07-14,99.68928000000001
195,1970-07-15,99.73572
196,1970-07-16,99.88663000000001
197,1970-07-17,100.0799
198,1970-07-18,100.219
199,1970-07-19,100.2278
200,1970-07-20,100.1586
201,1970-07-21,100.0796
202,1970-07-22,100.039
203,1970-07-23,100.0397
204,1970-07-24,100.0837
205,1970-07-25,100.1751
206,1970-07-26,100.2803
207,1970-07-27,100.3565
208,1970-07-28,100.3664
209,1970-07-29,100.3221
210,1970-07-30,100.2289
211,1970-07-31,100.0829
212,1970-08-01,99.91779
213,1970-08-02,99.77286
214,1970-08-03,99.67995
215,1970-08-04,99.63031
216,1970-08-05,99.59777
217,1970-08-06,99.51876
218,1970-08-07,99.3829
219,1970-08-08,99.38165
220,1970-08-09,99.40549
221,1970-08-10,99.37021
222,1970-08-11,99.34421999999999
223,1970-08-12,99.24691999999999
224,1970-08-13,99.15342
225,1970-08-14,98.92734
226,1970-08-15,98.54653
227,1970-08-16,98.20145
228,1970-08-17,98.17648
229,1970-08-18,98.16139
230,1970-08-19,97.97310999999999
231,1970-08-20,97.77988
232,1970-08-21,97.6508
233,1970-08-22,97.47028
234,1970-08-23,97.31097
235,1970-08-24,97.34725
236,1970-08-25,97.38725
237,1970-08-26,97.31282
