DATE,DGS10,BAMLC0A3CAEY,BAMLC0A2CAAEY,RU2000PR,BAMLC0A4CBBBEY,VIXCLS,BAMLC0A1CAAAEY,SP500,DGS20,T10Y2Y,csAAA,csAA,csA,csBBB,diff_csAAA,diff_csAA,diff_csA,diff_csBBB,label_AAA,label_AA,label_A,label_BBB,Last Price
2014-02-03,2.61,2.72,2.36,2720.32,3.72,21.44,2.65,1741.89,3.29,2.31,0.040000000000000036,-0.25,0.11000000000000032,1.1100000000000003,0.009999999999999787,0.020000000000000014,0.010000000000000231,0.020000000000000462,1,1,1,1,74.563
2014-02-04,2.64,2.75,2.38,2740.84,3.74,19.11,2.67,1755.2,3.33,2.33,0.029999999999999805,-0.26000000000000023,0.10999999999999988,1.1,-0.010000000000000231,-0.010000000000000231,-4.440892098500626e-16,-0.010000000000000231,0,0,0,0,73.033
2014-02-05,2.7,2.77,2.4,2717.86,3.76,19.95,2.7,1751.64,3.4,2.38,0.0,-0.3000000000000003,0.06999999999999984,1.0599999999999996,-0.029999999999999805,-0.040000000000000036,-0.040000000000000036,-0.04000000000000048,0,0,0,0,72.962
2014-02-06,2.73,2.78,2.41,2743.53,3.77,17.23,2.73,1773.43,3.42,2.4,0.0,-0.31999999999999984,0.049999999999999815,1.04,0.0,-0.01999999999999957,-0.020000000000000014,-0.01999999999999957,0,0,0,0,69.8
2014-02-07,2.71,2.75,2.38,2774.92,3.73,15.29,2.7,1797.02,3.39,2.41,-0.009999999999999787,-0.3300000000000001,0.040000000000000036,1.02,-0.009999999999999787,-0.010000000000000231,-0.009999999999999787,-0.020000000000000014,0,0,0,0,67.551
2014-02-10,2.7,2.75,2.38,2780.34,3.73,15.26,2.7,1799.84,3.38,2.38,0.0,-0.3200000000000003,0.049999999999999815,1.0299999999999998,0.009999999999999787,0.009999999999999787,0.009999999999999787,0.009999999999999787,1,1,1,1,67.75
2014-02-11,2.75,2.77,2.4,2806.26,3.75,14.51,2.73,1819.75,3.42,2.4,-0.020000000000000014,-0.3500000000000001,0.020000000000000014,1.0,-0.020000000000000014,-0.029999999999999805,-0.029999999999999805,-0.029999999999999805,0,0,0,0,65.5
2014-02-12,2.8,2.8,2.43,2814.64,3.77,14.3,2.77,1819.26,3.45,2.45,-0.029999999999999805,-0.3699999999999997,0.0,0.9700000000000002,-0.009999999999999787,-0.01999999999999957,-0.020000000000000014,-0.029999999999999805,0,0,0,0,65.141
2014-02-13,2.73,2.76,2.39,2852.54,3.72,14.14,2.72,1829.83,3.4,2.41,-0.009999999999999787,-0.33999999999999986,0.029999999999999805,0.9900000000000002,0.020000000000000014,0.029999999999999805,0.029999999999999805,0.020000000000000014,1,1,1,1,64.75
2014-02-14,2.75,2.76,2.4,2856.08,3.71,13.57,2.73,1838.63,3.41,2.43,-0.020000000000000014,-0.3500000000000001,0.009999999999999787,0.96,-0.010000000000000231,-0.010000000000000231,-0.020000000000000014,-0.03000000000000025,0,0,0,0,63.907
2014-02-18,2.71,2.72,2.37,2886.58,3.68,13.87,2.7,1840.76,3.4,2.4,-0.009999999999999787,-0.33999999999999986,0.010000000000000231,0.9700000000000002,0.010000000000000231,0.010000000000000231,4.440892098500626e-16,0.010000000000000231,1,1,1,1,64.0
2014-02-19,2.73,2.75,2.38,2855.72,3.7,15.5,2.72,1828.75,3.42,2.4,-0.009999999999999787,-0.3500000000000001,0.020000000000000014,0.9700000000000002,0.0,-0.010000000000000231,0.009999999999999787,0.0,0,0,1,0,66.0
2014-02-20,2.76,2.76,2.4,2888.15,3.71,14.79,2.74,1839.78,3.44,2.42,-0.01999999999999957,-0.3599999999999999,0.0,0.9500000000000002,-0.009999999999999787,-0.009999999999999787,-0.020000000000000014,-0.020000000000000014,0,0,0,0,64.75
2014-02-21,2.73,2.75,2.39,2894.4,3.7,14.68,2.72,1836.25,3.41,2.4,-0.009999999999999787,-0.33999999999999986,0.020000000000000014,0.9700000000000002,0.009999999999999787,0.020000000000000014,0.020000000000000014,0.020000000000000014,1,1,1,1,65.125
2014-02-24,2.75,2.75,2.39,2919.06,3.7,14.23,2.73,1847.61,3.42,2.4,-0.020000000000000014,-0.3599999999999999,0.0,0.9500000000000002,-0.010000000000000231,-0.020000000000000014,-0.020000000000000014,-0.020000000000000014,0,0,0,0,63.937
2014-02-25,2.7,2.71,2.36,2917.55,3.66,13.67,2.69,1845.12,3.37,2.36,-0.010000000000000231,-0.3400000000000003,0.009999999999999787,0.96,0.009999999999999787,0.01999999999999957,0.009999999999999787,0.009999999999999787,1,1,1,1,64.35
2014-02-26,2.67,2.69,2.34,2936.87,3.64,14.35,2.67,1845.16,3.34,2.34,0.0,-0.3300000000000001,0.020000000000000014,0.9700000000000002,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,1,1,1,1,64.688
2014-02-27,2.65,2.67,2.32,2952.34,3.62,14.04,2.64,1854.29,3.31,2.32,-0.009999999999999787,-0.3300000000000001,0.020000000000000014,0.9700000000000002,-0.009999999999999787,0.0,0.0,0.0,0,0,0,0,63.777
2014-02-28,2.66,2.69,2.4,2940.12,3.64,14.0,2.66,1859.45,3.31,2.33,0.0,-0.26000000000000023,0.029999999999999805,0.98,0.009999999999999787,0.06999999999999984,0.009999999999999787,0.009999999999999787,1,1,1,1,63.5
2014-03-03,2.6,2.67,2.37,2923.55,3.62,16.0,2.63,1845.73,3.27,2.28,0.029999999999999805,-0.23,0.06999999999999984,1.02,0.029999999999999805,0.03000000000000025,0.040000000000000036,0.040000000000000036,1,1,1,1,65.313
2014-03-04,2.7,2.71,2.41,3003.8,3.67,14.1,2.68,1873.91,3.36,2.37,-0.020000000000000014,-0.29000000000000004,0.009999999999999787,0.9699999999999998,-0.049999999999999815,-0.06000000000000005,-0.06000000000000005,-0.05000000000000026,0,0,0,0,62.375
2014-03-05,2.7,2.72,2.42,2996.99,3.67,13.89,2.69,1873.81,3.36,2.37,-0.010000000000000231,-0.28000000000000025,0.020000000000000014,0.9699999999999998,0.009999999999999787,0.009999999999999787,0.010000000000000231,0.0,1,1,1,0,62.442
2014-03-06,2.74,2.75,2.45,2993.6,3.69,14.21,2.72,1877.03,3.4,2.37,-0.020000000000000014,-0.29000000000000004,0.009999999999999787,0.9499999999999996,-0.009999999999999787,-0.009999999999999787,-0.010000000000000231,-0.020000000000000014,0,0,0,0,62.75
2014-03-07,2.8,2.79,2.5,2990.54,3.74,14.11,2.76,1878.04,3.45,2.42,-0.040000000000000036,-0.2999999999999998,-0.009999999999999787,0.9400000000000004,-0.020000000000000014,-0.009999999999999787,-0.01999999999999957,-0.009999999999999344,0,0,0,0,63.4
2014-03-10,2.79,2.79,2.49,2983.63,3.74,14.2,2.76,1877.17,3.45,2.42,-0.03000000000000025,-0.2999999999999998,0.0,0.9500000000000002,0.009999999999999787,0.0,0.009999999999999787,0.009999999999999787,1,0,1,1,63.251000000000005
2014-03-11,2.77,2.78,2.48,2950.11,3.73,14.8,2.75,1867.63,3.43,2.4,-0.020000000000000014,-0.29000000000000004,0.009999999999999787,0.96,0.010000000000000231,0.009999999999999787,0.009999999999999787,0.009999999999999787,1,1,1,1,64.001
2014-03-12,2.73,2.76,2.46,2960.85,3.72,14.47,2.72,1868.2,3.38,2.36,-0.009999999999999787,-0.27,0.029999999999999805,0.9900000000000002,0.010000000000000231,0.020000000000000014,0.020000000000000014,0.03000000000000025,1,1,1,1,65.156
2014-03-13,2.66,2.71,2.41,2924.5,3.68,16.22,2.67,1846.34,3.31,2.32,0.009999999999999787,-0.25,0.049999999999999815,1.02,0.01999999999999957,0.020000000000000014,0.020000000000000014,0.029999999999999805,1,1,1,1,67.681
2014-03-14,2.65,2.72,2.42,2936.11,3.68,17.82,2.68,1841.13,3.3,2.29,0.03000000000000025,-0.23,0.07000000000000027,1.0300000000000002,0.020000000000000462,0.020000000000000014,0.020000000000000462,0.010000000000000231,1,1,1,1,67.469
2014-03-17,2.7,2.75,2.45,2953.05,3.7,15.64,2.72,1858.83,3.34,2.32,0.020000000000000014,-0.25,0.049999999999999815,1.0,-0.010000000000000231,-0.020000000000000014,-0.020000000000000462,-0.03000000000000025,0,0,0,0,65.0
2014-03-18,2.68,2.73,2.43,2994.83,3.68,14.52,2.7,1872.25,3.33,2.32,0.020000000000000014,-0.25,0.049999999999999815,1.0,0.0,0.0,0.0,0.0,0,0,0,0,63.13
2014-03-19,2.78,2.82,2.51,2971.52,3.74,15.12,2.79,1860.77,3.39,2.31,0.010000000000000231,-0.27,0.040000000000000036,0.9600000000000004,-0.009999999999999787,-0.020000000000000014,-0.009999999999999787,-0.039999999999999584,0,0,0,0,64.673
2014-03-20,2.79,2.82,2.52,2979.74,3.75,14.52,2.79,1872.01,3.4,2.34,0.0,-0.27,0.029999999999999805,0.96,-0.010000000000000231,0.0,-0.010000000000000231,-4.440892098500626e-16,0,0,0,0,71.375
2014-03-21,2.75,2.8,2.5,2966.73,3.73,15.0,2.78,1866.52,3.34,2.3,0.029999999999999805,-0.25,0.049999999999999815,0.98,0.029999999999999805,0.020000000000000014,0.020000000000000014,0.020000000000000014,1,1,1,1,70.751
2014-03-24,2.74,2.8,2.5,2928.21,3.73,15.09,2.77,1857.44,3.31,2.27,0.029999999999999805,-0.2400000000000002,0.05999999999999961,0.9899999999999998,0.0,0.009999999999999787,0.009999999999999787,0.009999999999999787,0,1,1,1,71.817
2014-03-25,2.75,2.78,2.49,2927.75,3.72,14.02,2.76,1865.62,3.32,2.28,0.009999999999999787,-0.2599999999999998,0.029999999999999805,0.9700000000000002,-0.020000000000000014,-0.01999999999999957,-0.029999999999999805,-0.01999999999999957,0,0,0,0,71.313
2014-03-26,2.71,2.75,2.46,2871.67,3.68,14.93,2.72,1852.56,3.29,2.26,0.010000000000000231,-0.25,0.040000000000000036,0.9700000000000002,4.440892098500626e-16,0.009999999999999787,0.010000000000000231,0.0,1,1,1,0,72.0
2014-03-27,2.69,2.74,2.44,2861.62,3.65,14.62,2.71,1849.04,3.25,2.24,0.020000000000000014,-0.25,0.05000000000000026,0.96,0.009999999999999787,0.0,0.010000000000000231,-0.010000000000000231,1,0,1,0,71.135
2014-03-28,2.73,2.76,2.47,2862.54,3.67,14.41,2.74,1857.62,3.29,2.28,0.010000000000000231,-0.2599999999999998,0.029999999999999805,0.94,-0.009999999999999787,-0.009999999999999787,-0.020000000000000462,-0.020000000000000014,0,0,0,0,70.4
