DATE, 日期
DGS10, 10年Treasury Bond收益
BAMLC0A3CAEY, Moody's A级Bond收益
BAMLC0A2CAAEY, Moody's AA级Bond收益
RU2000PR, Russell2000指数
BAMLC0A4CBBBEY, BBB级Bond收益
VIXCLS, CBOE Volatility Index
BAMLC0A1CAAAEY, Moody's AAA级Bond收益
SP500, 标普500
DGS20, 20年Treasury Bond收益
T10Y2Y, 10年T和2年T的diff？
csAAA, AAA与10年T的Credit Spread
csAA, AA与10年T的Credit Spread
csA, A与10年T的Credit Spread
csBBB, BBB与10年T的Credit Spread
diff_csAAA, 当日csAAA与昨日差值
diff_csAA, 当日csAA与昨日差值
diff_csA, 当日csA与昨日差值
diff_csBBB, 当日csBBB与昨日差值
label_AAA, 当日csAAA上升或不上升，1为上升
label_AA, 当日csAA上升或不上升，1为上升
label_A, 当日csA上升或不上升，1为上升
label_BBB, 当日csBBB上升或不上升，1为上升
